Name,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,Phone,Email,Address,Has_4_Wheeler,Highest_Time_Spent_Website,Highest_Time_Spent
Scott Lester,34,management,married,secondary,no,293,yes,no,21,may,162,3,-1,0,unknown,no,3096708721,kpratt@example.com,"PSC 8894, Box 0055
APO AE 63408",False,capitalone.com/auto-loans,118
Sherry Simpson,43,blue-collar,married,primary,no,487,yes,no,7,may,548,2,-1,0,unknown,no,9816751642,susansilva@example.net,"82426 Brianna Mountain
Lake Michael, OR 37301",False,capitalone.com/auto-loans,118
Joseph Fox,42,blue-collar,married,secondary,no,30,no,no,8,may,366,2,-1,0,unknown,no,4138898368,valdezbrian@example.org,"501 Sara Roads Apt. 541
East Hannah, RI 73032",False,capitalone.com/auto-loans,118
Dennis Swanson,31,blue-collar,single,secondary,no,-745,yes,no,13,may,227,1,-1,0,unknown,no,5387260695,henryjeanne@example.net,"271 Mary Alley
Michaeltown, TN 36029",False,capitalone.com/auto-loans,118
Debra Bullock,60,retired,married,primary,no,1542,yes,no,14,may,930,1,-1,0,unknown,yes,3322881587,douglas71@example.net,"304 Andrew Rapid Apt. 517
Port Robertberg, ME 78450",False,capitalone.com/auto-loans,118
Heather Fuentes,44,entrepreneur,married,tertiary,no,3689,yes,no,16,may,134,3,-1,0,unknown,no,9324393710,jonathanandrade@example.net,"60744 Wilson Ford Suite 632
Port Thomas, NE 25718",False,capitalone.com/auto-loans,118
Jill Anderson,60,technician,divorced,secondary,no,0,no,no,6,jun,105,1,-1,0,unknown,no,2219837164,benjamin66@example.com,"882 Webb Run
Rebekahport, GA 38992",False,capitalone.com/auto-loans,118
Allison Moreno,32,blue-collar,married,primary,no,-89,yes,no,9,may,389,2,-1,0,unknown,no,6709775943,wardsara@example.net,"05594 Dale Ridge
Cuevasland, MD 00536",False,capitalone.com/auto-loans,117
Elizabeth Calderon,29,self-employed,married,tertiary,yes,-1083,yes,no,4,jun,139,2,-1,0,unknown,no,7237367862,kevin96@example.org,"471 Smith Turnpike
New Jeremiahmouth, MS 46332",False,capitalone.com/auto-loans,115
Michele Hanson,30,management,single,tertiary,no,3773,yes,no,27,may,99,1,-1,0,unknown,no,3764943698,stokesbrent@example.com,"6077 Morales Cliffs Apt. 844
Lauraborough, WI 53563",False,capitalone.com/auto-loans,114
Joshua Carson,28,entrepreneur,single,tertiary,no,219,yes,no,27,may,257,1,-1,0,unknown,no,9152035353,drichmond@example.com,"5364 Mccarty Stream
West Shaunchester, MO 06980",False,capitalone.com/auto-loans,114
Marissa Sosa,32,services,married,secondary,no,250,yes,no,29,may,202,1,-1,0,unknown,no,2274505980,ulin@example.com,"7716 Benitez Haven Apt. 109
Reedside, CO 87906",False,capitalone.com/auto-loans,114
Tiffany Nicholson,42,admin.,single,primary,no,629,yes,no,29,may,164,3,-1,0,unknown,no,8904528821,richardmitchell@example.net,"7528 Donna Lake Apt. 551
Lake Travismouth, WA 18908",False,capitalone.com/auto-loans,114
Teresa Gilbert,40,admin.,married,secondary,no,0,yes,no,23,may,193,2,-1,0,unknown,no,8498737559,dennis97@example.com,"367 Brown Gardens Suite 958
North Deannaborough, GU 14262",False,capitalone.com/auto-loans,114
James Collins,35,technician,married,secondary,no,23,yes,no,26,may,147,1,-1,0,unknown,no,4908943744,ricerussell@example.org,"5820 Leonard Hollow Apt. 497
West Larrystad, MS 91641",False,capitalone.com/auto-loans,114
Mark Brown,38,blue-collar,married,primary,no,0,no,no,13,may,209,2,-1,0,unknown,no,5072035630,walterbutler@example.net,"3702 Strickland Falls
Port Samantha, NY 35302",False,capitalone.com/auto-loans,114
Angel Johnson,47,blue-collar,married,secondary,no,290,yes,no,20,may,409,2,-1,0,unknown,no,2076034527,anthony53@example.org,"0073 Howe Prairie Apt. 529
Port Brendanton, GU 44413",False,capitalone.com/auto-loans,114
Stephanie Williams,44,services,single,secondary,no,0,yes,no,14,may,198,1,-1,0,unknown,no,3284134584,fowleramy@example.com,"64781 Keith Extension
Port Kathryn, LA 82090",False,capitalone.com/auto-loans,113
Heather Goodman,40,admin.,married,secondary,no,2523,yes,no,16,may,75,1,-1,0,unknown,no,9505936445,hlee@example.net,"901 Acosta Summit Apt. 841
Stevensonchester, TN 73082",False,capitalone.com/auto-loans,113
Deanna Nelson,51,blue-collar,married,primary,no,173,yes,no,5,may,529,2,-1,0,unknown,no,4003644078,kflores@example.net,"503 Rowland Park Apt. 114
Sanchezhaven, WI 61937",False,capitalone.com/auto-loans,112
Erin Johnson,49,management,divorced,tertiary,no,-2049,yes,no,30,may,169,3,-1,0,unknown,no,6368062177,cartermeagan@example.net,"PSC 0471, Box 9443
APO AA 94391",False,capitalone.com/auto-loans,112
Anna Smith,29,management,married,tertiary,no,168,yes,no,28,may,119,1,-1,0,unknown,no,5123261290,simmonstyler@example.com,"21097 Kevin Burgs
Morrisberg, AK 06079",False,capitalone.com/auto-loans,112
Jeffrey Lewis,26,management,single,tertiary,no,2692,no,no,28,may,159,2,-1,0,unknown,no,9889589552,bpierce@example.org,"14171 Hernandez Manor
Spencerstad, KY 68008",False,capitalone.com/auto-loans,112
Mr. Jonathan Johnson,40,management,married,tertiary,no,384,no,no,28,may,191,2,-1,0,unknown,no,2465312815,cbrown@example.net,"39600 Williams Groves Apt. 020
Danielshire, WV 68819",False,capitalone.com/auto-loans,111
Mark Boyd,37,blue-collar,married,secondary,no,311,yes,no,4,jun,135,1,-1,0,unknown,no,7235554000,alyssa15@example.com,"420 Smith Shoal
Rodriguezside, GA 22916",False,capitalone.com/auto-loans,111
Gloria Patterson,30,services,married,secondary,no,-95,yes,yes,26,may,306,3,-1,0,unknown,no,4954855537,richardbass@example.net,"1334 Berger Stream Apt. 205
Jennifermouth, FL 52100",False,capitalone.com/auto-loans,111
Patrick Gonzalez Jr.,36,blue-collar,married,secondary,no,-870,yes,no,26,may,102,2,-1,0,unknown,no,5936540802,cchen@example.net,"617 Molly Track
Matthewton, ME 48790",False,capitalone.com/auto-loans,111
Amanda Martinez,49,technician,married,secondary,no,378,no,no,9,jun,189,2,-1,0,unknown,no,5074410194,vickiboyd@example.org,"747 Belinda Mount
Charlesburgh, ME 92860",False,capitalone.com/auto-loans,110
Jacob Jenkins,32,blue-collar,married,secondary,no,489,yes,no,20,may,212,1,-1,0,unknown,no,9214090896,jacksoncameron@example.net,"300 Lucas Lane Suite 161
South Reginaldborough, MI 46071",False,capitalone.com/auto-loans,108
Kristen Hall,28,technician,married,secondary,no,839,yes,no,27,may,240,2,-1,0,unknown,no,7199519764,louis01@example.com,"659 Reyes Pike Suite 516
Davidport, HI 74281",False,capitalone.com/auto-loans,108
Alan Phillips,41,management,married,tertiary,no,6060,yes,no,15,may,71,2,-1,0,unknown,no,7693968081,jerome19@example.net,"991 Strong Dale
Patricktown, CT 50210",False,capitalone.com/auto-loans,107
Courtney Martinez,53,services,married,secondary,no,367,yes,yes,13,may,284,2,-1,0,unknown,no,5476157520,pkey@example.net,"37093 Garrett Dale
Rosalesview, VT 05291",False,capitalone.com/auto-loans,107
Patrick Davis,49,management,married,tertiary,no,3237,yes,no,5,may,232,3,-1,0,unknown,no,5095972350,brentball@example.net,"204 Shannon Cliff Suite 713
Reynoldsberg, UT 81967",False,capitalone.com/auto-loans,107
Jason Taylor,46,blue-collar,married,primary,no,328,yes,no,21,may,526,8,-1,0,unknown,no,8554411852,aaron28@example.com,"671 Daniel Summit
Allenhaven, WY 77030",False,capitalone.com/auto-loans,107
Stacy Ramos,33,blue-collar,married,secondary,no,58,no,no,16,may,144,2,-1,0,unknown,no,3689125140,leahperez@example.com,"33419 Conley Court Suite 215
New Lauraberg, OR 45298",False,capitalone.com/auto-loans,107
Erin Ali,42,blue-collar,married,primary,no,984,yes,no,29,may,109,1,-1,0,unknown,no,2607226248,jonesdavid@example.org,"6027 Erin Orchard Suite 197
Lake Jonathan, AZ 88645",False,capitalone.com/auto-loans,106
Lisa Wong,42,unknown,single,unknown,no,1316,no,no,5,jun,285,1,-1,0,unknown,no,7842767223,stephanie15@example.com,"0043 Daniels Light Apt. 540
Lake Saraborough, PA 91882",False,capitalone.com/auto-loans,106
Kathleen Taylor,60,entrepreneur,divorced,secondary,no,1307,yes,no,27,may,328,11,-1,0,unknown,no,8129652099,briana21@example.com,"6431 Tate Extensions
Port Carolynville, CO 41724",False,capitalone.com/auto-loans,106
Kevin Weiss,29,technician,single,secondary,no,-166,yes,no,16,may,323,2,-1,0,unknown,no,4017368345,kellylowe@example.org,"67171 Paul Plains Suite 138
Gonzaleztown, LA 71638",False,capitalone.com/auto-loans,105
Ronald Wong,37,management,single,secondary,no,34,yes,no,29,may,285,1,-1,0,unknown,no,7566443781,velezsharon@example.org,"853 Ramirez Parkway
Zacharyhaven, SC 80256",False,capitalone.com/auto-loans,105
Victoria Lee,32,blue-collar,married,secondary,no,517,yes,no,5,may,528,1,-1,0,unknown,no,2897197007,alvin38@example.net,"Unit 9599 Box 0246
DPO AE 71101",False,capitalone.com/auto-loans,105
Brandon Long,31,blue-collar,divorced,primary,no,158,yes,no,28,may,157,1,-1,0,unknown,no,9769809137,patricia45@example.com,"6001 Rogers Knoll Apt. 326
West Megan, WY 28134",False,capitalone.com/auto-loans,105
Mitchell Day,41,blue-collar,married,unknown,no,225,yes,no,7,may,690,2,-1,0,unknown,no,8988792792,ashley20@example.net,"264 Wong Branch
Lloydberg, CA 23874",False,capitalone.com/auto-loans,105
Thomas Jenkins MD,31,admin.,married,secondary,no,8784,yes,no,21,may,63,2,-1,0,unknown,no,2006645675,ashleyrivers@example.org,"30971 Everett Shoal Apt. 441
Michaelhaven, RI 86034",False,capitalone.com/auto-loans,104
Katelyn Green,53,management,married,tertiary,no,115,yes,no,6,may,336,3,-1,0,unknown,no,5823486108,williamperry@example.net,"90479 Velasquez Via
Maxwellbury, NH 50480",False,capitalone.com/auto-loans,104
Anthony Davis,41,admin.,single,secondary,no,400,yes,no,4,jun,99,6,-1,0,unknown,no,8735293619,jonathan98@example.org,"317 Adams Camp Apt. 886
West Ronnie, ND 74192",False,capitalone.com/auto-loans,104
Michael Prince,31,blue-collar,married,secondary,no,213,yes,no,20,may,74,2,-1,0,unknown,no,8037667784,tara39@example.net,"456 Martin Spur Suite 427
Garciahaven, MS 50472",False,capitalone.com/auto-loans,103
Vanessa Garcia,51,blue-collar,married,unknown,no,37,yes,no,7,may,256,6,-1,0,unknown,no,9652236760,fellis@example.org,"6948 Valdez Corner Apt. 025
Simmonsview, KY 83832",False,capitalone.com/auto-loans,103
Stephanie Lang,41,management,married,tertiary,no,176,yes,yes,5,may,42,1,-1,0,unknown,no,4883557636,ecrawford@example.net,"46959 Montgomery Heights
North Daniel, NY 04325",False,capitalone.com/auto-loans,103
Donald Peterson,35,blue-collar,married,primary,no,453,yes,no,21,may,312,2,-1,0,unknown,no,7095078547,johnsonrobert@example.net,"5733 Tyler Summit
Gardnershire, NC 82535",False,capitalone.com/auto-loans,103
Joshua Davis,39,management,married,secondary,no,1034,yes,no,30,may,306,1,-1,0,unknown,no,9382177709,rodney57@example.net,"098 Nolan Land Apt. 299
West Amandashire, UT 37242",False,capitalone.com/auto-loans,103
Jeffrey Rogers,29,management,married,tertiary,no,1,yes,yes,16,may,49,1,-1,0,unknown,no,3787356962,stacyjohnson@example.net,"067 Heather Motorway
Cindyfort, WA 30310",False,capitalone.com/auto-loans,103
Mary Thompson,51,management,married,tertiary,no,307,yes,no,30,may,206,2,-1,0,unknown,no,3736030135,nicholas95@example.org,"4753 Mccarthy Dale
Johnfort, SC 29435",False,capitalone.com/auto-loans,103
Brittany Harrison,48,technician,married,secondary,no,219,yes,yes,29,may,154,4,-1,0,unknown,no,6336588550,matthew57@example.net,"651 John Ridge
Mayofurt, MN 34638",False,capitalone.com/auto-loans,102
Mrs. Christine White,31,blue-collar,single,primary,no,216,yes,no,21,may,565,1,-1,0,unknown,yes,7058322386,qflynn@example.com,"9110 Summers Landing
Howardview, GA 35207",False,capitalone.com/auto-loans,102
Clifford Riley,53,entrepreneur,single,secondary,no,62,yes,no,30,may,1044,5,-1,0,unknown,yes,5637865329,robert41@example.net,"84812 Jared Route Apt. 978
West John, VI 67398",False,capitalone.com/auto-loans,102
Scott Chung,34,self-employed,married,secondary,no,-370,yes,no,21,may,748,1,-1,0,unknown,no,4868036406,ewhite@example.com,"03805 Robert Stravenue
Youngton, LA 09715",False,capitalone.com/auto-loans,102
John Moody,38,management,single,tertiary,no,6836,yes,no,29,may,374,4,-1,0,unknown,no,8465635258,hannahramirez@example.net,"53353 Jeremiah Center
Cochranton, MA 32340",False,capitalone.com/auto-loans,102
Madison Best,48,entrepreneur,divorced,tertiary,no,275,no,yes,5,jun,34,1,-1,0,unknown,no,6426181947,brianagutierrez@example.com,"846 Angela Coves Apt. 058
Melissaview, VA 19141",False,capitalone.com/auto-loans,101
Kevin Rich,45,blue-collar,married,primary,no,180,yes,yes,29,may,150,1,-1,0,unknown,no,7329921887,jeffrey34@example.org,"430 Hansen Rapid
Ochoaview, PW 60008",False,capitalone.com/auto-loans,101
Melissa Scott,57,technician,married,unknown,no,1617,yes,no,7,may,96,2,-1,0,unknown,no,4174515992,james17@example.org,"USNV Edwards
FPO AA 47863",False,capitalone.com/auto-loans,101
Gregory Taylor,52,blue-collar,married,primary,no,2144,yes,no,30,may,60,1,-1,0,unknown,no,7186065640,paynemark@example.net,"PSC 7032, Box 5099
APO AA 76875",False,capitalone.com/auto-loans,101
Nichole Williams,31,technician,married,tertiary,no,15,no,no,2,jun,389,1,-1,0,unknown,no,3904917841,buckdana@example.org,"637 Thompson Ridge
Port Samuel, UT 84678",False,capitalone.com/auto-loans,101
Kyle Jones,55,technician,married,secondary,no,726,yes,no,16,may,271,1,-1,0,unknown,no,3655427362,rebeccacastro@example.org,"729 Nelson Keys
Port Meganberg, MD 08261",False,capitalone.com/auto-loans,100
Meredith Ruiz,30,management,married,tertiary,no,302,yes,yes,23,may,302,1,-1,0,unknown,no,8786330652,newmanbrittany@example.org,"81949 Sara Lights Suite 895
South Haroldfort, KS 63590",False,capitalone.com/auto-loans,100
Jesus Berry,24,blue-collar,single,secondary,no,0,yes,no,19,may,202,1,-1,0,unknown,no,3976481297,cfoster@example.org,"8162 Baker Vista Suite 777
Madisonbury, VT 05995",False,capitalone.com/auto-loans,100
Brandon Jackson,28,technician,single,secondary,no,216,yes,no,13,may,66,1,-1,0,unknown,no,4874766749,mrodriguez@example.com,"630 Nelson Drive
Griffinfurt, ND 94224",False,capitalone.com/auto-loans,100
Daniel Mcconnell,39,technician,married,secondary,no,1965,yes,no,2,jun,65,1,-1,0,unknown,no,9114826191,candacepatrick@example.org,"451 Li Green Apt. 559
East Jasonmouth, WY 97878",False,capitalone.com/auto-loans,100
Jennifer Olson,56,blue-collar,divorced,primary,no,8,yes,no,5,may,157,2,-1,0,unknown,no,5168214901,vwhite@example.com,"9716 James Stravenue Apt. 170
Kylemouth, NH 37124",False,capitalone.com/auto-loans,99
Michelle Burke,49,admin.,married,secondary,yes,15,no,no,12,may,290,5,-1,0,unknown,no,7687869303,leah67@example.net,"599 Jeffrey Well
Lake Monica, AZ 75421",False,capitalone.com/auto-loans,99
